"rodne_pid","trid","rodne_uid","site_name","uid","stid","multistem","rcdm","conifer","rodne_site_ab","plot_type","plot_size","rodne_sid","corvallis_core","spcd","diam_cm","capo_num","cond","con_numeric","inner_ring","outer_ring","pith","d2pith_cm","metlen_age","harvest_date","plantassoc","pvt","bps","insol","insol_value","tpi","true_age","year_sampled","spcd_mod","aet","pet","deficit","elevation","diam_in","inddensity","tree_area","tpa","sdi_acre","basal_area_acre","biostrat","x","y","snag_spcd_group","snag_slope","snag_dbh","snagfall_rogers","snagfall_mellen","decay_25_rogers","decay_50_rogers","decay_75_rogers","decay_25_mellen","decay_50_mellen","decay_75_mellen","endyear_rogers","endyear_mellen","deathyear_rogers","deathyear_mellen","end_year","multi_add"
"A01","14","A010055_new","Ashland","AW14_014_06_new","5_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",32.7521151429182,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,6.69291338582677,0.525998284346066,0.24431931314827,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,NA
"A01","2","A010016_new","Ashland","AW14_002_08_new","7_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",36.3230488515146,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,7.44094488188976,0.623167707417467,0.301983743424545,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1943,NA
"A01","6","A010029_new","Ashland","AW14_006_02_new","1_new",1,115,"Hardwood","A","density",0.1,NA,"NO","ARME",37.6764449248657,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME/HODI/WHMO-SWO","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Cool",970818,"Mid Slope",NA,2011,6,571,788,217,1261,8.26771653543307,0.737593235249194,0.372819436326599,494,299,147,"Douglas-fir - Dry,Cool,Mid Slope",-122.7419046,42.17883426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1962,NA
"A02","15","A020041_new","Ashland","AW15_015_06_new","5_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",24.3796361897565,3,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",NA,2011,6,565,761,197,1290,8.22834645669291,0.731981510597834,0.369277228983723,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,NA
"A02","35","A020067_new","Ashland","AW15_035_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",36.0921749930884,2,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",NA,2011,6,565,761,197,1290,3.93700787401575,0.225043282266502,0.0845395547225848,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,NA
"A02","46","A020094_new","Ashland","AW15_046_04_new","3_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",15.5864284988686,0,"OLDER DEAD",4,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",NA,2011,6,565,761,197,1290,4.33070866141732,0.262116493604645,0.102292861214328,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-7.60356803384786,-3.80178401692393,-1.57788293118239,-7.60356803384786,-3.80178401692393,-1.57788293118239,2007,2007,2007,2007,1963,NA
"A02","47","A020096_new","Ashland","AW15_047_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",35.5289677103979,2,"LIVE",1,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",NA,2011,6,565,761,197,1290,4.7244094488189,0.301270110735157,0.121736958800522,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966,NA
"A02","49","A020108_new","Ashland","AW15_049_07_new","6_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",40.2079473523629,0,"RECENT DEAD",3,NA,NA,NA,NA,NA,NA,"PSME-ABCO/SYMO","White fir - Intermediate","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1307130.625,"Mid Slope",NA,2011,6,565,761,197,1290,4.68503937007874,0.297263229453207,0.119716463442652,368,319,177,"White fir - Intermediate,Warm,Mid Slope",-122.73659309,42.17301727,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,NA,NA,NA,NA,NA,NA,NA,NA,2011,2011,1966,NA
"A03","20","A030031_new","Ashland","AW27_020_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",11.9656284884429,0,"BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1377170.5,"Bottom Slope",NA,2011,6,517,645,128,998,4.33070866141732,0.262116493604645,0.102292861214328,328,260,149,"Douglas-fir - Dry,Warm,Bottom Slope",-122.72518208,42.16986597,"Pacific madrone","Other","Small",0.0497322111706197,0.0850555555555556,-46.0852578110958,-23.0426289055479,-9.56355507776901,-34.504947450749,-17.2524737253745,-7.16042355135339,1988,1994,1988,1994,1967,NA
"A03","54","A030067_new","Ashland","AW27_054_03_new","2_new",1,NA,"Hardwood","A","density",0.1,NA,"NO","ARME",11.2402462130433,0,"BROKEN TOPPED SNAG",6,NA,NA,NA,NA,NA,NA,"PSME-PIPO/RHDI6","Douglas-fir - Dry","Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland","Warm",1377170.5,"Bottom Slope",NA,2011,6,517,645,128,998,8.07086614173228,0.709695793509139,0.355277478721663,328,260,149,"Douglas-fir - Dry,Warm,Bottom Slope",-122.72518208,42.16986597,"Pacific madrone","Other","Medium",0.0497322111706197,0.0831666666666667,-46.0852578110958,-23.0426289055479,-9.56355507776901,-34.8753260570119,-17.4376630285059,-7.23728405661826,1988,1994,1988,1994,1960,NA
